Trend = -89.50 degrees from North in Clockwise direction Plunge = 0.98degrees  A=  9° |   N
Trend = 82.31 degrees from North in Clockwise direction Plunge = 2.37degrees  A=  0° |   N
Trend = 87.74 degrees from North in Clockwise direction Plunge = 0.14degrees  A=  0° |   N
Trend = 87.55 degrees from North in Clockwise direction Plunge = 0.13degrees  A=  0° |   N
Trend = 85.10 degrees from North in Clockwise direction Plunge = 0.48degrees  A=  0° |   N
Trend = 88.19 degrees from North in Clockwise direction Plunge = 0.08degrees  A=  0° |   N
Trend = 89.47 degrees from North in Clockwise direction Plunge = 0.00degrees  A=  0° |   N
Trend = 80.75 degrees from North in Clockwise direction Plunge = 0.50degrees  A=  0° |   N
Trend = 64.32 degrees from North in Clockwise direction Plunge = 1.64degrees  A=  0° |   N
Trend = 59.80 degrees from North in Clockwise direction Plunge = 47.48degrees  A=  0° |   N
Trend = 70.03 degrees from North in Clockwise direction Plunge = 41.28degrees  A=  0° |   N
Trend = 62.10 degrees from North in Clockwise direction Plunge = 43.22degrees  A=  0° |   N
Trend = 50.07 degrees from North in Clockwise direction Plunge = 45.12degrees  A=  0° |   N
Trend = -66.40 degrees from North in Clockwise direction Plunge = 11.30degrees  A=  0° |   N
Trend = 66.90 degrees from North in Clockwise direction Plunge = 49.09degrees  A=  0° |   N
Trend = 53.20 degrees from North in Clockwise direction Plunge = 39.25degrees  A=  0° |   N
Trend = 51.99 degrees from North in Clockwise direction Plunge = 41.09degrees  A= 27° | NNE
Trend = 53.67 degrees from North in Clockwise direction Plunge = 39.84degrees  A= 27° | NNE
Trend = 48.69 degrees from North in Clockwise direction Plunge = 40.72degrees  A= 27° | NNE
Trend = 49.28 degrees from North in Clockwise direction Plunge = 42.09degrees  A= 27° | NNE
Trend = 47.04 degrees from North in Clockwise direction Plunge = 42.05degrees  A= 27° | NNE
Trend = 49.10 degrees from North in Clockwise direction Plunge = 40.96degrees  A= 27° | NNE
Trend = 32.62 degrees from North in Clockwise direction Plunge = 44.73degrees  A= 27° | NNE
Trend = 36.53 degrees from North in Clockwise direction Plunge = 43.78degrees  A= 27° | NNE
Trend = 34.47 degrees from North in Clockwise direction Plunge = 41.89degrees  A= 27° | NNE
Trend = 51.61 degrees from North in Clockwise direction Plunge = 49.65degrees  A= 27° | NNE
Trend = 71.84 degrees from North in Clockwise direction Plunge = 23.57degrees  A= 27° | NNE
Trend = 66.60 degrees from North in Clockwise direction Plunge = 37.13degrees  A= 27° | NNE
Trend = 23.60 degrees from North in Clockwise direction Plunge = 34.22degrees  A= 27° | NNE
Trend = 11.78 degrees from North in Clockwise direction Plunge = 33.14degrees  A= 27° | NNE
Trend = -29.90 degrees from North in Clockwise direction Plunge = 29.31degrees  A= 27° | NNE
Trend = 12.09 degrees from North in Clockwise direction Plunge = 33.15degrees  A= 27° | NNE
Trend = -42.05 degrees from North in Clockwise direction Plunge = 26.89degrees  A= 27° | NNE
Trend = -29.64 degrees from North in Clockwise direction Plunge = 29.91degrees  A= 27° | NNE
Trend = 11.83 degrees from North in Clockwise direction Plunge = 34.16degrees  A= 27° | NNE
Trend = 11.61 degrees from North in Clockwise direction Plunge = 38.90degrees  A= 27° | NNE
Trend = 42.02 degrees from North in Clockwise direction Plunge = 33.23degrees  A= 27° | NNE
Trend = 45.22 degrees from North in Clockwise direction Plunge = 31.96degrees  A= 27° | NNE
Trend = 44.97 degrees from North in Clockwise direction Plunge = 31.98degrees  A= 27° | NNE
Trend = 48.32 degrees from North in Clockwise direction Plunge = 31.49degrees  A= 27° | NNE
Trend = 45.21 degrees from North in Clockwise direction Plunge = 32.54degrees  A= 27° | NNE
Trend = 37.48 degrees from North in Clockwise direction Plunge = 33.99degrees  A= 27° | NNE
Trend = 35.03 degrees from North in Clockwise direction Plunge = 34.27degrees  A= 27° | NNE
Trend = 42.41 degrees from North in Clockwise direction Plunge = 32.42degrees  A= 27° | NNE
Trend = 40.22 degrees from North in Clockwise direction Plunge = 32.78degrees  A= 27° | NNE
Trend = 38.17 degrees from North in Clockwise direction Plunge = 33.19degrees  A= 27° | NNE
Trend = 17.41 degrees from North in Clockwise direction Plunge = 41.65degrees  A= 27° | NNE
Trend = 33.44 degrees from North in Clockwise direction Plunge = 36.81degrees  A= 27° | NNE
Trend = 42.39 degrees from North in Clockwise direction Plunge = 36.55degrees  A= 27° | NNE
Trend = 30.05 degrees from North in Clockwise direction Plunge = 40.10degrees  A= 27° | NNE
Trend = 28.77 degrees from North in Clockwise direction Plunge = 40.43degrees  A= 27° | NNE
Trend = 27.94 degrees from North in Clockwise direction Plunge = 40.55degrees  A= 27° | NNE
Trend = 23.96 degrees from North in Clockwise direction Plunge = 40.75degrees  A= 27° | NNE
Trend = 14.69 degrees from North in Clockwise direction Plunge = 42.64degrees  A= 27° | NNE
Trend = 15.65 degrees from North in Clockwise direction Plunge = 42.07degrees  A= 27° | NNE
Trend = 16.18 degrees from North in Clockwise direction Plunge = 41.49degrees  A= 27° | NNE
Trend = 16.37 degrees from North in Clockwise direction Plunge = 41.12degrees  A= 27° | NNE
Trend = 14.29 degrees from North in Clockwise direction Plunge = 41.61degrees  A= 27° | NNE
Trend = 16.17 degrees from North in Clockwise direction Plunge = 42.01degrees  A= 27° | NNE
Trend = 15.31 degrees from North in Clockwise direction Plunge = 41.50degrees  A= 27° | NNE
Trend = 12.01 degrees from North in Clockwise direction Plunge = 41.56degrees  A= 27° | NNE
Trend = 4.64 degrees from North in Clockwise direction Plunge = 40.79degrees  A= 27° | NNE
Trend = 6.00 degrees from North in Clockwise direction Plunge = 42.15degrees  A= 27° | NNE
Trend = 12.63 degrees from North in Clockwise direction Plunge = 41.95degrees  A= 27° | NNE
Trend = 14.02 degrees from North in Clockwise direction Plunge = 41.71degrees  A= 27° | NNE
Trend = 18.02 degrees from North in Clockwise direction Plunge = 41.45degrees  A= 27° | NNE
Trend = 20.81 degrees from North in Clockwise direction Plunge = 43.21degrees  A= 27° | NNE
Trend = 30.93 degrees from North in Clockwise direction Plunge = 39.03degrees  A= 27° | NNE
Trend = 24.97 degrees from North in Clockwise direction Plunge = 42.20degrees  A= 27° | NNE
Trend = 24.01 degrees from North in Clockwise direction Plunge = 42.43degrees  A= 27° | NNE
Trend = 26.38 degrees from North in Clockwise direction Plunge = 41.22degrees  A= 27° | NNE
Trend = 28.93 degrees from North in Clockwise direction Plunge = 40.90degrees  A= 27° | NNE
Trend = 28.43 degrees from North in Clockwise direction Plunge = 40.27degrees  A= 27° | NNE
Trend = 27.18 degrees from North in Clockwise direction Plunge = 40.79degrees  A= 27° | NNE
Trend = 24.87 degrees from North in Clockwise direction Plunge = 41.10degrees  A= 27° | NNE
Trend = 24.66 degrees from North in Clockwise direction Plunge = 42.03degrees  A= 27° | NNE
Trend = 26.20 degrees from North in Clockwise direction Plunge = 41.49degrees  A= 27° | NNE
Trend = 26.00 degrees from North in Clockwise direction Plunge = 41.96degrees  A= 27° | NNE
Trend = 26.83 degrees from North in Clockwise direction Plunge = 41.35degrees  A= 27° | NNE
Trend = 26.00 degrees from North in Clockwise direction Plunge = 41.95degrees  A= 27° | NNE
Trend = 25.65 degrees from North in Clockwise direction Plunge = 41.28degrees  A= 27° | NNE
Trend = 26.51 degrees from North in Clockwise direction Plunge = 41.70degrees  A= 27° | NNE
Trend = 25.83 degrees from North in Clockwise direction Plunge = 41.60degrees  A= 27° | NNE
Trend = 26.39 degrees from North in Clockwise direction Plunge = 42.25degrees  A= 27° | NNE
Trend = 26.12 degrees from North in Clockwise direction Plunge = 41.93degrees  A= 27° | NNE
Trend = 25.96 degrees from North in Clockwise direction Plunge = 42.40degrees  A= 27° | NNE
Trend = 26.75 degrees from North in Clockwise direction Plunge = 41.76degrees  A= 27° | NNE
Trend = 14.66 degrees from North in Clockwise direction Plunge = 43.91degrees  A= 27° | NNE
Trend = -0.53 degrees from North in Clockwise direction Plunge = 42.43degrees  A= 27° | NNE
Trend = 6.54 degrees from North in Clockwise direction Plunge = 44.78degrees  A= 27° | NNE
Trend = -14.08 degrees from North in Clockwise direction Plunge = 43.26degrees  A= 27° | NNE
Trend = -10.44 degrees from North in Clockwise direction Plunge = 43.79degrees  A= 27° | NNE
Trend = -2.52 degrees from North in Clockwise direction Plunge = 45.01degrees  A= 27° | NNE
Trend = -1.93 degrees from North in Clockwise direction Plunge = 44.23degrees  A= 27° | NNE
Trend = 6.95 degrees from North in Clockwise direction Plunge = 44.94degrees  A= 27° | NNE
Trend = -6.09 degrees from North in Clockwise direction Plunge = 44.20degrees  A= 27° | NNE
Trend = 11.12 degrees from North in Clockwise direction Plunge = 44.84degrees  A= 27° | NNE
Trend = 79.73 degrees from North in Clockwise direction Plunge = 28.64degrees  A= 27° | NNE
Trend = 7.77 degrees from North in Clockwise direction Plunge = 43.55degrees  A= 27° | NNE
Trend = 8.10 degrees from North in Clockwise direction Plunge = 44.61degrees  A= 27° | NNE
Trend = 9.82 degrees from North in Clockwise direction Plunge = 44.14degrees  A= 27° | NNE
Trend = 9.29 degrees from North in Clockwise direction Plunge = 44.09degrees  A= 27° | NNE
Trend = 9.10 degrees from North in Clockwise direction Plunge = 44.30degrees  A= 27° | NNE
Trend = 9.84 degrees from North in Clockwise direction Plunge = 43.47degrees  A= 27° | NNE
Trend = 11.37 degrees from North in Clockwise direction Plunge = 43.64degrees  A= 27° | NNE
Trend = 10.10 degrees from North in Clockwise direction Plunge = 44.08degrees  A= 27° | NNE
Trend = 10.64 degrees from North in Clockwise direction Plunge = 44.20degrees  A= 27° | NNE
Trend = 15.74 degrees from North in Clockwise direction Plunge = 43.85degrees  A= 27° | NNE
Trend = 8.43 degrees from North in Clockwise direction Plunge = 41.43degrees  A= 27° | NNE
Trend = 13.86 degrees from North in Clockwise direction Plunge = 44.71degrees  A= 27° | NNE
Trend = 16.33 degrees from North in Clockwise direction Plunge = 44.10degrees  A= 27° | NNE
Trend = 17.89 degrees from North in Clockwise direction Plunge = 45.08degrees  A= 27° | NNE
Trend = 15.64 degrees from North in Clockwise direction Plunge = 43.47degrees  A= 27° | NNE
Trend = 15.88 degrees from North in Clockwise direction Plunge = 43.85degrees  A= 27° | NNE
Trend = 17.90 degrees from North in Clockwise direction Plunge = 44.26degrees  A= 27° | NNE
Trend = 18.24 degrees from North in Clockwise direction Plunge = 43.96degrees  A= 27° | NNE
Trend = 18.59 degrees from North in Clockwise direction Plunge = 43.62degrees  A= 27° | NNE
Trend = 17.85 degrees from North in Clockwise direction Plunge = 43.85degrees  A= 27° | NNE
Trend = 17.26 degrees from North in Clockwise direction Plunge = 43.36degrees  A= 27° | NNE
Trend = 18.06 degrees from North in Clockwise direction Plunge = 43.32degrees  A= 27° | NNE
Trend = 13.63 degrees from North in Clockwise direction Plunge = 43.64degrees  A= 27° | NNE
Trend = 15.00 degrees from North in Clockwise direction Plunge = 43.63degrees  A= 27° | NNE
Trend = 17.11 degrees from North in Clockwise direction Plunge = 43.59degrees  A= 27° | NNE
Trend = 15.58 degrees from North in Clockwise direction Plunge = 43.53degrees  A= 27° | NNE
Trend = 16.10 degrees from North in Clockwise direction Plunge = 43.30degrees  A= 27° | NNE
Trend = 19.02 degrees from North in Clockwise direction Plunge = 43.91degrees  A= 27° | NNE
Trend = 16.25 degrees from North in Clockwise direction Plunge = 43.63degrees  A= 27° | NNE
Trend = 16.61 degrees from North in Clockwise direction Plunge = 43.58degrees  A= 27° | NNE
Trend = 16.93 degrees from North in Clockwise direction Plunge = 43.85degrees  A= 27° | NNE
Trend = 15.13 degrees from North in Clockwise direction Plunge = 43.62degrees  A= 27° | NNE
Trend = 14.61 degrees from North in Clockwise direction Plunge = 43.92degrees  A= 27° | NNE
Trend = 15.84 degrees from North in Clockwise direction Plunge = 43.89degrees  A= 27° | NNE
Trend = 16.33 degrees from North in Clockwise direction Plunge = 44.19degrees  A= 27° | NNE
Trend = 15.79 degrees from North in Clockwise direction Plunge = 43.82degrees  A= 27° | NNE
Trend = 14.41 degrees from North in Clockwise direction Plunge = 44.12degrees  A= 27° | NNE
Trend = 13.45 degrees from North in Clockwise direction Plunge = 43.41degrees  A= 27° | NNE
Trend = 14.61 degrees from North in Clockwise direction Plunge = 43.74degrees  A= 27° | NNE
Trend = -10.91 degrees from North in Clockwise direction Plunge = 44.60degrees  A= 33° | NNE
Trend = -11.46 degrees from North in Clockwise direction Plunge = 44.41degrees  A= 33° | NNE
Trend = -11.04 degrees from North in Clockwise direction Plunge = 44.52degrees  A= 32° | NNE
Trend = -10.37 degrees from North in Clockwise direction Plunge = 45.12degrees  A= 32° | NNE
Trend = -11.64 degrees from North in Clockwise direction Plunge = 44.07degrees  A= 32° | NNE
Trend = -11.74 degrees from North in Clockwise direction Plunge = 44.56degrees  A= 33° | NNE
Trend = -10.72 degrees from North in Clockwise direction Plunge = 45.02degrees  A= 32° | NNE
Trend = 69.10 degrees from North in Clockwise direction Plunge = 32.48degrees  A=  5° |   N
Trend = 69.14 degrees from North in Clockwise direction Plunge = 32.48degrees  A=  5° |   N
Trend = 69.43 degrees from North in Clockwise direction Plunge = 32.24degrees  A=  5° |   N
Trend = 69.16 degrees from North in Clockwise direction Plunge = 32.37degrees  A=  5° |   N
Trend = 69.06 degrees from North in Clockwise direction Plunge = 32.77degrees  A=  5° |   N
Trend = 69.04 degrees from North in Clockwise direction Plunge = 32.98degrees  A=  5° |   N
Trend = 69.40 degrees from North in Clockwise direction Plunge = 32.38degrees  A=  5° |   N
Trend = 69.63 degrees from North in Clockwise direction Plunge = 33.10degrees  A=  5° |   N
Trend = 69.32 degrees from North in Clockwise direction Plunge = 32.49degrees  A=  4° |   N
Trend = 69.32 degrees from North in Clockwise direction Plunge = 32.87degrees  A=  4° |   N
Trend = 69.26 degrees from North in Clockwise direction Plunge = 32.85degrees  A=  5° |   N
Trend = 69.36 degrees from North in Clockwise direction Plunge = 31.81degrees  A=  5° |   N
Trend = 68.99 degrees from North in Clockwise direction Plunge = 32.78degrees  A=354° | NNW
Trend = 69.37 degrees from North in Clockwise direction Plunge = 33.17degrees  A= 14° |   N
Trend = 69.32 degrees from North in Clockwise direction Plunge = 32.57degrees  A= 77° | ENE
Trend = 69.61 degrees from North in Clockwise direction Plunge = 32.82degrees  A=345° | NNW
Trend = 69.14 degrees from North in Clockwise direction Plunge = 32.45degrees  A=328° |  NW
Trend = 69.31 degrees from North in Clockwise direction Plunge = 32.55degrees  A=315° |  NW
Trend = 69.04 degrees from North in Clockwise direction Plunge = 32.44degrees  A=  4° |   N
Trend = 69.30 degrees from North in Clockwise direction Plunge = 32.26degrees  A= 25° | NNE
Trend = 68.99 degrees from North in Clockwise direction Plunge = 32.55degrees  A= 26° | NNE
Trend = 69.26 degrees from North in Clockwise direction Plunge = 31.84degrees  A= 29° | NNE
Trend = 69.40 degrees from North in Clockwise direction Plunge = 32.38degrees  A= 32° | NNE
Trend = 68.96 degrees from North in Clockwise direction Plunge = 32.52degrees  A= 32° | NNE
Trend = 68.92 degrees from North in Clockwise direction Plunge = 31.65degrees  A=  5° |   N
Trend = 69.38 degrees from North in Clockwise direction Plunge = 32.54degrees  A=  2° |   N
Trend = 69.10 degrees from North in Clockwise direction Plunge = 31.99degrees  A= 17° |   N
Trend = 69.61 degrees from North in Clockwise direction Plunge = 32.16degrees  A= 17° |   N
Trend = 69.35 degrees from North in Clockwise direction Plunge = 32.19degrees  A= 13° |   N
Trend = 69.78 degrees from North in Clockwise direction Plunge = 32.45degrees  A= 12° |   N
Trend = 69.80 degrees from North in Clockwise direction Plunge = 32.40degrees  A= 12° |   N
Trend = 69.54 degrees from North in Clockwise direction Plunge = 32.25degrees  A= 12° |   N
Trend = 69.87 degrees from North in Clockwise direction Plunge = 33.49degrees  A= 12° |   N
Trend = 69.55 degrees from North in Clockwise direction Plunge = 32.44degrees  A= 12° |   N
Trend = 69.51 degrees from North in Clockwise direction Plunge = 32.78degrees  A= 11° |   N
Trend = 69.48 degrees from North in Clockwise direction Plunge = 32.71degrees  A= 11° |   N
Trend = 68.11 degrees from North in Clockwise direction Plunge = 27.03degrees  A= 10° |   N
Trend = 68.14 degrees from North in Clockwise direction Plunge = 27.62degrees  A= 11° |   N
Trend = 68.93 degrees from North in Clockwise direction Plunge = 31.92degrees  A= 11° |   N
Trend = 68.81 degrees from North in Clockwise direction Plunge = 30.89degrees  A= 11° |   N
Trend = 69.22 degrees from North in Clockwise direction Plunge = 31.62degrees  A= 11° |   N
Trend = 68.68 degrees from North in Clockwise direction Plunge = 31.01degrees  A= 11° |   N
Trend = 69.06 degrees from North in Clockwise direction Plunge = 31.45degrees  A= 11° |   N
Trend = 69.01 degrees from North in Clockwise direction Plunge = 31.22degrees  A= 11° |   N
Trend = 69.30 degrees from North in Clockwise direction Plunge = 31.48degrees  A= 11° |   N
Trend = 69.18 degrees from North in Clockwise direction Plunge = 30.52degrees  A= 11° |   N
Trend = 68.58 degrees from North in Clockwise direction Plunge = 30.90degrees  A= 11° |   N
Trend = 69.10 degrees from North in Clockwise direction Plunge = 31.98degrees  A= 11° |   N
Trend = 68.78 degrees from North in Clockwise direction Plunge = 31.47degrees  A= 11° |   N
Trend = 68.97 degrees from North in Clockwise direction Plunge = 31.32degrees  A= 11° |   N
Trend = 69.05 degrees from North in Clockwise direction Plunge = 31.94degrees  A= 11° |   N
Trend = 68.88 degrees from North in Clockwise direction Plunge = 31.56degrees  A= 11° |   N
Trend = 68.94 degrees from North in Clockwise direction Plunge = 31.83degrees  A= 11° |   N
Trend = 68.68 degrees from North in Clockwise direction Plunge = 30.98degrees  A= 11° |   N
Trend = 69.27 degrees from North in Clockwise direction Plunge = 31.34degrees  A= 11° |   N
Trend = 68.71 degrees from North in Clockwise direction Plunge = 31.66degrees  A= 11° |   N
Trend = 68.97 degrees from North in Clockwise direction Plunge = 32.14degrees  A= 11° |   N
Trend = 69.04 degrees from North in Clockwise direction Plunge = 31.64degrees  A= 11° |   N
Trend = 68.84 degrees from North in Clockwise direction Plunge = 31.37degrees  A= 11° |   N
Trend = 68.96 degrees from North in Clockwise direction Plunge = 31.20degrees  A= 11° |   N
Trend = 68.76 degrees from North in Clockwise direction Plunge = 31.57degrees  A= 11° |   N
Trend = 69.04 degrees from North in Clockwise direction Plunge = 31.26degrees  A= 11° |   N
Trend = 69.13 degrees from North in Clockwise direction Plunge = 31.39degrees  A= 11° |   N
Trend = 69.03 degrees from North in Clockwise direction Plunge = 31.39degrees  A= 10° |   N
Trend = 68.82 degrees from North in Clockwise direction Plunge = 31.78degrees  A=  8° |   N
Trend = 68.68 degrees from North in Clockwise direction Plunge = 31.02degrees  A= 19° |   N
Trend = 68.97 degrees from North in Clockwise direction Plunge = 31.48degrees  A= 28° | NNE
Trend = 68.99 degrees from North in Clockwise direction Plunge = 31.59degrees  A= 38° | NNE
Trend = 68.89 degrees from North in Clockwise direction Plunge = 30.81degrees  A= 20° |   N
Trend = 69.07 degrees from North in Clockwise direction Plunge = 31.89degrees  A= 15° |   N
Trend = 69.12 degrees from North in Clockwise direction Plunge = 31.39degrees  A= 13° |   N
Trend = 68.74 degrees from North in Clockwise direction Plunge = 31.97degrees  A= 13° |   N
Trend = 69.13 degrees from North in Clockwise direction Plunge = 31.28degrees  A= 12° |   N
Trend = 69.07 degrees from North in Clockwise direction Plunge = 31.26degrees  A= 12° |   N
Trend = 69.01 degrees from North in Clockwise direction Plunge = 31.98degrees  A= 12° |   N
Trend = 68.98 degrees from North in Clockwise direction Plunge = 32.17degrees  A= 12° |   N
Trend = 68.85 degrees from North in Clockwise direction Plunge = 31.56degrees  A= 11° |   N
Trend = 69.07 degrees from North in Clockwise direction Plunge = 31.83degrees  A= 11° |   N
Trend = 68.95 degrees from North in Clockwise direction Plunge = 30.82degrees  A= 11° |   N
Trend = 68.86 degrees from North in Clockwise direction Plunge = 31.87degrees  A= 11° |   N
Trend = 69.22 degrees from North in Clockwise direction Plunge = 32.07degrees  A= 11° |   N
Trend = 69.01 degrees from North in Clockwise direction Plunge = 30.63degrees  A= 11° |   N
Trend = 69.19 degrees from North in Clockwise direction Plunge = 31.76degrees  A= 11° |   N
Trend = 69.17 degrees from North in Clockwise direction Plunge = 30.76degrees  A= 11° |   N
Trend = 68.87 degrees from North in Clockwise direction Plunge = 32.21degrees  A= 11° |   N
Trend = 69.08 degrees from North in Clockwise direction Plunge = 31.69degrees  A= 11° |   N
Trend = 69.19 degrees from North in Clockwise direction Plunge = 31.22degrees  A= 11° |   N
Trend = 68.85 degrees from North in Clockwise direction Plunge = 31.79degrees  A= 11° |   N
Trend = 69.18 degrees from North in Clockwise direction Plunge = 31.39degrees  A= 11° |   N
Trend = 69.31 degrees from North in Clockwise direction Plunge = 31.54degrees  A= 11° |   N
Trend = 68.87 degrees from North in Clockwise direction Plunge = 31.98degrees  A= 11° |   N
Trend = 68.71 degrees from North in Clockwise direction Plunge = 32.65degrees  A= 11° |   N
Trend = 69.44 degrees from North in Clockwise direction Plunge = 31.75degrees  A=  9° |   N
Trend = 69.21 degrees from North in Clockwise direction Plunge = 31.57degrees  A= 23° | NNE
Trend = 68.97 degrees from North in Clockwise direction Plunge = 31.49degrees  A= 15° |   N
Trend = 69.27 degrees from North in Clockwise direction Plunge = 31.81degrees  A= 17° |   N
Trend = 69.41 degrees from North in Clockwise direction Plunge = 31.30degrees  A= 17° |   N
Trend = 69.18 degrees from North in Clockwise direction Plunge = 31.81degrees  A= 20° |   N
Trend = 69.19 degrees from North in Clockwise direction Plunge = 31.68degrees  A= 40° | NNE
Trend = 65.96 degrees from North in Clockwise direction Plunge = 32.60degrees  A= 32° | NNE
Trend = 64.19 degrees from North in Clockwise direction Plunge = 32.68degrees  A= 32° | NNE
Trend = 67.53 degrees from North in Clockwise direction Plunge = 32.45degrees  A= 12° |   N
Trend = 64.96 degrees from North in Clockwise direction Plunge = 34.83degrees  A= 14° |   N
Trend = 65.36 degrees from North in Clockwise direction Plunge = 31.85degrees  A= 38° | NNE
Trend = 68.32 degrees from North in Clockwise direction Plunge = 32.06degrees  A= 18° |   N
Trend = 66.92 degrees from North in Clockwise direction Plunge = 32.49degrees  A= 25° | NNE
Trend = 66.86 degrees from North in Clockwise direction Plunge = 32.30degrees  A= 20° |   N
Trend = 60.13 degrees from North in Clockwise direction Plunge = 33.55degrees  A= 34° | NNE
Trend = 65.13 degrees from North in Clockwise direction Plunge = 33.29degrees  A= 43° | NNE
Trend = 65.31 degrees from North in Clockwise direction Plunge = 32.50degrees  A= 37° | NNE
Trend = -83.15 degrees from North in Clockwise direction Plunge = 41.45degrees  A= 30° | NNE
Trend = -25.47 degrees from North in Clockwise direction Plunge = 71.56degrees  A= 24° | NNE
Trend = -35.51 degrees from North in Clockwise direction Plunge = 53.80degrees  A= 21° |   N
Trend = -58.01 degrees from North in Clockwise direction Plunge = 48.22degrees  A= 23° | NNE
Trend = -89.96 degrees from North in Clockwise direction Plunge = 38.19degrees  A= 26° | NNE
Trend = -40.03 degrees from North in Clockwise direction Plunge = 74.81degrees  A= 23° | NNE
Trend = 45.71 degrees from North in Clockwise direction Plunge = 71.04degrees  A= 30° | NNE
Trend = 8.83 degrees from North in Clockwise direction Plunge = 73.57degrees  A= 31° | NNE
Trend = 7.36 degrees from North in Clockwise direction Plunge = 71.84degrees  A= 31° | NNE
Trend = 8.55 degrees from North in Clockwise direction Plunge = 70.81degrees  A= 31° | NNE
Trend = 9.61 degrees from North in Clockwise direction Plunge = 72.08degrees  A= 30° | NNE
Trend = 12.60 degrees from North in Clockwise direction Plunge = 70.89degrees  A= 30° | NNE
Trend = 7.92 degrees from North in Clockwise direction Plunge = 72.09degrees  A= 31° | NNE
Trend = 6.90 degrees from North in Clockwise direction Plunge = 72.18degrees  A= 30° | NNE
Trend = 4.46 degrees from North in Clockwise direction Plunge = 72.72degrees  A= 30° | NNE
Trend = 13.23 degrees from North in Clockwise direction Plunge = 71.58degrees  A= 21° |   N
Trend = 7.57 degrees from North in Clockwise direction Plunge = 71.70degrees  A= 17° |   N
Trend = 8.53 degrees from North in Clockwise direction Plunge = 71.21degrees  A= 18° |   N
Trend = 11.44 degrees from North in Clockwise direction Plunge = 71.51degrees  A= 19° |   N
Trend = 2.31 degrees from North in Clockwise direction Plunge = 69.68degrees  A= 18° |   N
Trend = 4.23 degrees from North in Clockwise direction Plunge = 71.25degrees  A= 18° |   N
Trend = 11.60 degrees from North in Clockwise direction Plunge = 71.33degrees  A= 17° |   N
Trend = 4.25 degrees from North in Clockwise direction Plunge = 71.65degrees  A= 17° |   N
Trend = 8.53 degrees from North in Clockwise direction Plunge = 71.05degrees  A= 17° |   N
Trend = 4.80 degrees from North in Clockwise direction Plunge = 71.18degrees  A= 17° |   N
Trend = 8.10 degrees from North in Clockwise direction Plunge = 71.23degrees  A= 17° |   N
Trend = 9.71 degrees from North in Clockwise direction Plunge = 71.58degrees  A= 17° |   N
Trend = 8.90 degrees from North in Clockwise direction Plunge = 71.98degrees  A= 17° |   N
Trend = 7.72 degrees from North in Clockwise direction Plunge = 71.60degrees  A= 17° |   N
Trend = 9.81 degrees from North in Clockwise direction Plunge = 71.73degrees  A= 17° |   N
Trend = 5.43 degrees from North in Clockwise direction Plunge = 72.19degrees  A= 17° |   N
Trend = 9.21 degrees from North in Clockwise direction Plunge = 71.51degrees  A= 17° |   N
Trend = 8.25 degrees from North in Clockwise direction Plunge = 71.91degrees  A= 18° |   N
Trend = 8.43 degrees from North in Clockwise direction Plunge = 71.46degrees  A= 18° |   N
Trend = 4.49 degrees from North in Clockwise direction Plunge = 71.43degrees  A= 18° |   N
Trend = 4.98 degrees from North in Clockwise direction Plunge = 71.56degrees  A= 17° |   N
Trend = 5.26 degrees from North in Clockwise direction Plunge = 72.31degrees  A= 16° |   N
Trend = 3.87 degrees from North in Clockwise direction Plunge = 73.18degrees  A= 16° |   N
Trend = 4.45 degrees from North in Clockwise direction Plunge = 72.13degrees  A= 16° |   N
Trend = 19.23 degrees from North in Clockwise direction Plunge = 72.60degrees  A= 17° |   N
Trend = 14.53 degrees from North in Clockwise direction Plunge = 72.13degrees  A= 20° |   N
Trend = -15.38 degrees from North in Clockwise direction Plunge = 84.43degrees  A= 37° | NNE
Trend = 14.65 degrees from North in Clockwise direction Plunge = 39.03degrees  A= 52° |  NE
Trend = 15.48 degrees from North in Clockwise direction Plunge = 39.38degrees  A= 51° |  NE
Trend = 14.65 degrees from North in Clockwise direction Plunge = 39.43degrees  A= 51° |  NE
Trend = 15.67 degrees from North in Clockwise direction Plunge = 40.22degrees  A= 51° |  NE
Trend = 16.35 degrees from North in Clockwise direction Plunge = 39.81degrees  A= 50° |  NE
Trend = 19.25 degrees from North in Clockwise direction Plunge = 38.33degrees  A= 50° |  NE
Trend = 16.93 degrees from North in Clockwise direction Plunge = 39.45degrees  A= 50° |  NE
Trend = 29.58 degrees from North in Clockwise direction Plunge = 46.93degrees  A= 44° | NNE
Trend = 8.29 degrees from North in Clockwise direction Plunge = 72.40degrees  A= 19° |   N
Trend = 0.86 degrees from North in Clockwise direction Plunge = 66.37degrees  A= 15° |   N
Trend = 0.32 degrees from North in Clockwise direction Plunge = 68.33degrees  A= 13° |   N
Trend = -15.81 degrees from North in Clockwise direction Plunge = 74.50degrees  A= 15° |   N
Trend = 0.34 degrees from North in Clockwise direction Plunge = 72.69degrees  A= 21° |   N
Trend = -3.99 degrees from North in Clockwise direction Plunge = 72.89degrees  A= 15° |   N
Trend = 3.42 degrees from North in Clockwise direction Plunge = 72.92degrees  A= 16° |   N
Trend = -0.58 degrees from North in Clockwise direction Plunge = 71.55degrees  A= 16° |   N
Trend = 11.63 degrees from North in Clockwise direction Plunge = 75.01degrees  A= 13° |   N
Trend = 35.84 degrees from North in Clockwise direction Plunge = 67.73degrees  A= 10° |   N
